Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Officer,14-Mar-01,0.43 Cr,1.21 Cr,2.08 Cr,3.71 Cr
Chori Chori Chupke Chupke,9-Mar-01,1.14 Cr,3.48 Cr,6.50 Cr,18.35 Cr
Vatsyayana Kamasutra,9-Mar-01,0 Cr N.A,0 Cr N.A,0.45 Cr,0.85 Cr
Zahreela,2-Mar-01,0.13 Cr,0.35 Cr,0.53 Cr,0.87 Cr
Kasoor,2-Feb-01,0.23 Cr,0.83 Cr,1.63 Cr,5.31 Cr
Aashiq,26-Jan-01,0.90 Cr,2.39 Cr,4.37 Cr,10.34 Cr
Kuch Khatti Kuch Meethi,19-Jan-01,0.35 Cr,1.10 Cr,2.05 Cr,5.04 Cr
Farz,12-Jan-01,1.07 Cr,3.08 Cr,5.43 Cr,11.27 Cr
Zubeidaa,1-Jan-01,0.19 Cr,0.64 Cr,1.21 Cr,3.48 Cr
Saathiya,20-Dec-02,0.53 Cr,1.79 Cr,3.78 Cr,15.26 Cr
Kaante,20-Dec-02,2.04 Cr,5.87 Cr,10.38 Cr,20.45 Cr
Karz – The Burden of Truth,6-Dec-02,1.26 Cr,3.57 Cr,5.57 Cr,8.70 Cr
Waah! Tera Kya Kehna,1-Nov-02,0.25 Cr,0.71 Cr,1.09 Cr,1.80 Cr
Annarth,1-Nov-02,0.39 Cr,1.13 Cr,1.83 Cr,3.00 Cr
Jeena Sirf Merre Liye,1-Nov-02,0.66 Cr,1.92 Cr,3.36 Cr,6.50 Cr
Deewangee,25-Oct-02,0.68 Cr,2.05 Cr,3.87 Cr,11.44 Cr
Dil Vil Pyar Vyar,18-Oct-02,0.32 Cr,1.00 Cr,1.58 Cr,2.37 Cr
Hathyar,18-Oct-02,0.77 Cr,2.12 Cr,3.29 Cr,5.35 Cr
Yeh Kya Ho Raha Hai?,11-Oct-02,0.51 Cr,1.40 Cr,2.11 Cr,2.91 Cr
Road,27-Sep-02,0.88 Cr,2.59 Cr,4.30 Cr,7.57 Cr
Gunaah,20-Sep-02,0.59 Cr,1.71 Cr,2.71 Cr,4.49 Cr
Shakti – The Power,20-Sep-02,0.98 Cr,2.82 Cr,4.62 Cr,8.48 Cr
Ek Chhotisi Love Story,6-Sep-02,0.35 Cr,0.98 Cr,1.73 Cr,4.84 Cr
Dil Hai Tumhaara,6-Sep-02,0.76 Cr,2.34 Cr,4.11 Cr,8.69 Cr
Chor Machaye Shor,30-Aug-02,1.00 Cr,2.97 Cr,4.78 Cr,7.66 Cr
Maine Dil Tujhko Diya,23-Aug-02,0.85 Cr,2.46 Cr,3.86 Cr,6.40 Cr
Jaani Dushman,16-Aug-02,1.35 Cr,4.02 Cr,6.47 Cr,10.73 Cr
Mujhse Dosti Karoge,9-Aug-02,1.16 Cr,3.58 Cr,6.28 Cr,12.95 Cr
Yeh Hai Jalwa,26-Jul-02,0.87 Cr,2.45 Cr,3.70 Cr,5.49 Cr
Om Jai Jagadish,19-Jul-02,0.79 Cr,2.34 Cr,3.71 Cr,6.16 Cr
Devdas,12-Jul-02,2.09 Cr,6.15 Cr,11.78 Cr,41.66 Cr
Humraaz,5-Jul-02,1.55 Cr,4.48 Cr,7.70 Cr,16.59 Cr
Kyaa Dil Ne Kahaa,28-Jun-02,0.70 Cr,1.96 Cr,3.00 Cr,4.24 Cr
Awara Paagal Deewana,21-Jun-02,1.53 Cr,4.43 Cr,7.66 Cr,16.02 Cr
Badhaai Ho Badhaai,14-Jun-02,0.63 Cr,1.79 Cr,2.72 Cr,3.79 Cr
Rishtey,12-Jun-02,0.68 Cr,2.02 Cr,3.44 Cr,6.00 Cr
The Legend Of Bhagat Singh,7-Jun-02,0.59 Cr,1.84 Cr,3.30 Cr,7.45 Cr
Mere Yaar Ki Shaadi Hai,7-Jun-02,0.52 Cr,1.61 Cr,3.04 Cr,8.34 Cr
23rd March 1931 Shaheed,7-Jun-02,1.21 Cr,3.26 Cr,5.08 Cr,7.60 Cr
Hum Kisi Se Kum Nahin,31-May-02,1.63 Cr,4.64 Cr,7.38 Cr,19 Cr
Hum Tumhare Hain Sanam,24-May-02,1.42 Cr,4.14 Cr,6.84 Cr,13.52 Cr
Ab Ke Baras,10-May-02,0.40 Cr,1.13 Cr,1.87 Cr,3.09 Cr
Na Tum Jaano Na Hum,10-May-02,0.81 Cr,2.46 Cr,4.34 Cr,8.14 Cr
Tum Se Achcha Kaun Hai,26-Apr-02,0.20 Cr,0.62 Cr,1.02 Cr,1.88 Cr
Aap Mujhe Achche Lagne Lage,19-Apr-02,1.09 Cr,3.24 Cr,5.30 Cr,9.59 Cr
Company,12-Apr-02,1.18 Cr,3.47 Cr,6.01 Cr,13.83 Cr
Aankhen,5-Apr-02,1.20 Cr,3.63 Cr,6.67 Cr,17.48 Cr
16-Dec,22-Mar-02,0.52 Cr,1.57 Cr,2.79 Cr,6.37 Cr
Kya Yehi Pyaar Hai,22-Mar-02,0.60 Cr,1.80 Cr,3.12 Cr,7.58 Cr
Kranti,15-Mar-02,0.82 Cr,2.31 Cr,3.78 Cr,6.19 Cr
Tumko Na Bhool Paayenge,22-Feb-02,1.28 Cr,3.61 Cr,5.99 Cr,10.53 Cr
Haan Maine Bhi Pyaar Kiya,15-Feb-02,0.96 Cr,2.81 Cr,4.56 Cr,8.93 Cr
Filhaal,1-Feb-02,0.22 Cr,0.65 Cr,1.09 Cr,1.91 Cr
Maa Tujhhe Salaam,25-Jan-02,1.71 Cr,4.90 Cr,7.72 Cr,13.32 Cr
Yeh Dil Aashiqanaa,18-Jan-02,0.47 Cr,1.47 Cr,2.57 Cr,6.22 Cr
Koi Mere Dil Se Poochhe,11-Jan-02,0.55 Cr,1.50 Cr,2.40 Cr,3.80 Cr
Pitaah,4-Jan-02,0.74 Cr,2.07 Cr,3.19 Cr,4.79 Cr
Raaz,2-Jan-02,0.79 Cr,2.32 Cr,4.69 Cr,21.46 Cr
Ankhiyon Se Goli Maare,1-Jan-02,0.55 Cr,1.45 Cr,2.15 Cr,3.10 Cr
LOC Kargil,26-Dec-03,2.27 Cr,6.43 Cr,10.62 Cr,17.64 Cr
Munnabhai MBBS,19-Dec-03,1.06 Cr,3.35 Cr,6.08 Cr,23.13 Cr
Fun2ssh,19-Dec-03,0.32 Cr,1.03 Cr,1.73 Cr,2.92 Cr
Janasheen,28-Nov-03,1.37 Cr,3.87 Cr,6.19 Cr,9.79 Cr
Kal Ho Naa Ho,28-Nov-03,2.17 Cr,6.71 Cr,12.45 Cr,38.55 Cr
Out Of Control,21-Nov-03,0.72 Cr,2.15 Cr,3.31 Cr,4.77 Cr
Pinjar,24-Oct-03,0.39 Cr,1.08 Cr,1.79 Cr,3.43 Cr
Sssshhh?,24-Oct-03,0.46 Cr,1.18 Cr,1.98 Cr,3.64 Cr
Khel,3-Oct-03,1.01 Cr,2.92 Cr,4.48 Cr,6.99 Cr
Baghban,3-Oct-03,0.90 Cr,2.92 Cr,5.39 Cr,20.65 Cr
Zameen,26-Sep-03,1.45 Cr,4.22 Cr,6.58 Cr,11.00 Cr
Boom,19-Sep-03,1.27 Cr,3.58 Cr,5.28 Cr,6.23 Cr
Parwana,12-Sep-03,0.74 Cr,2.07 Cr,3.10 Cr,4.35 Cr
Market,12-Sep-03,0.32 Cr,0.99 Cr,1.58 Cr,2.81 Cr
Kuch Naa Kaho,5-Sep-03,0.71 Cr,2.22 Cr,3.70 Cr,6.46 Cr
Calcutta Mail,5-Sep-03,0.45 Cr,1.29 Cr,1.95 Cr,2.59 Cr
Gangaajal,29-Aug-03,1.08 Cr,3.10 Cr,5.22 Cr,10.48 Cr
Mumbai Se Aaya Mera Dost,22-Aug-03,0.52 Cr,1.43 Cr,2.11 Cr,2.48 Cr
Footpath,15-Aug-03,0.62 Cr,1.76 Cr,2.74 Cr,4.15 Cr
Tere Naam,15-Aug-03,1.85 Cr,4.78 Cr,7.74 Cr,14.53 Cr
Koi Mil Gaya,8-Aug-03,2.25 Cr,6.45 Cr,12.90 Cr,47.20 Cr
Oops?,1-Aug-03,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
Chori Chori,1-Aug-03,0.48 Cr,1.42 Cr,2.23 Cr,3.15 Cr
Hungama,1-Aug-03,0.80 Cr,2.53 Cr,4.45 Cr,12.61 Cr
Darna Mana Hai,25-Jul-03,0.86 Cr,2.52 Cr,3.84 Cr,5.15 Cr
Jaal – The Trap,18-Jul-03,1.09 Cr,2.97 Cr,4.62 Cr,7.10 Cr
Qayamat,11-Jul-03,1.87 Cr,5.34 Cr,9.08 Cr,17.46 Cr
Hawa,4-Jul-03,0.54 Cr,1.50 Cr,2.38 Cr,3.76 Cr
Main Prem Ki Diwani Hoon,27-Jun-03,1.24 Cr,3.81 Cr,6.77 Cr,17.80 Cr
Supari,20-Jun-03,0.45 Cr,1.25 Cr,1.85 Cr,2.66 Cr
Chalte Chalte,13-Jun-03,1.50 Cr,4.52 Cr,8.23 Cr,19.44 Cr
Khwahish,6-Jun-03,0.35 Cr,1.03 Cr,1.70 Cr,3.34 Cr
Nayee Padosan,6-Jun-03,0.36 Cr,1.10 Cr,1.80 Cr,3.09 Cr
Bhoot,30-May-03,1.27 Cr,3.69 Cr,6.43 Cr,14.49 Cr
Jajantaram Mamantram,30-May-03,0.32 Cr,1.02 Cr,1.78 Cr,3.65 Cr
Andaaz,23-May-03,1.44 Cr,4.39 Cr,6.97 Cr,15.94 Cr
Armaan,16-May-03,0.75 Cr,0.05 Cr,3.94 Cr,6.82 Cr
Ishq Vishk,9-May-03,0.58 Cr,1.80 Cr,3.19 Cr,7.74 Cr
The Hero,11-Apr-03,2.22 Cr,6.31 Cr,10.74 Cr,26.23 Cr
Saaya,7-Apr-03,0.47 Cr,1.39 Cr,2.17 Cr,3.24 Cr
Ek Aur Ek Gyarah,28-Mar-03,1.10 Cr,3.19 Cr,5.26 Cr,11.71 Cr
Om,21-Mar-03,0.31 Cr,0.88 Cr,1.34 Cr,2.20 Cr
Chura Liyaa Hai Tumne,21-Mar-03,0.41 Cr,1.18 Cr,1.93 Cr,3.10 Cr
Baaz,7-Feb-03,0.43 Cr,1.19 Cr,1.82 Cr,2.81 Cr
Khushi,7-Feb-03,0.74 Cr,2.18 Cr,3.76 Cr,9.03 Cr
Dum,24-Jan-03,0.53 Cr,1.59 Cr,2.76 Cr,5.03 Cr
Kucch To Hai,24-Jan-03,0.70 Cr,2.06 Cr,3.57 Cr,6.78 Cr
Jism,17-Jan-03,0.67 Cr,1.91 Cr,3.37 Cr,8.14 Cr
Dil Ka Rishta,17-Jan-03,0.56 Cr,1.76 Cr,2.89 Cr,5.53 Cr
Talaash… The Hunt Begins,3-Jan-03,0.95 Cr,4.39 Cr,7.86 Cr,7.86 Cr
Tujhe Meri Kasam,3-Jan-03,0.16 Cr,0.61 Cr,1.09 Cr,8.93 Cr
Dil Maange More,31-Dec-04,0.85 Cr,2.53 Cr,3.95 Cr,5.44 Cr
Ab Tumhare Hawale Watan Sathiyo,24-Dec-04,1.63 Cr,4.58 Cr,7.19 Cr,11.56 Cr
Raincoat,24-Dec-04,0.29 Cr,0.98 Cr,1.59 Cr,2.54 Cr
Swades,17-Dec-04,1.63 Cr,5.15 Cr,8.28 Cr,16.31 Cr
Musafir,10-Dec-04,1.70 Cr,5.00 Cr,7.76 Cr,11.82 Cr
Hulchul,26-Nov-04,1.50 Cr,4.65 Cr,8.32 Cr,20.29 Cr
Naach,12-Nov-04,0.42 Cr,1.53 Cr,2.34 Cr,3.16 Cr
Veer Zaara,12-Nov-04,2.46 Cr,9.78 Cr,17.57 Cr,41.86 Cr
Aitraaz,12-Nov-04,1.18 Cr,4.46 Cr,7.66 Cr,15.58 Cr
Vaastu Shastra,22-Oct-04,0.92 Cr,2.68 Cr,4.20 Cr,6.95 Cr
Tauba Tauba,1-Oct-04,0.42 Cr,1.21 Cr,1.99 Cr,3.62 Cr
Tumsa Nahin Dekha,24-Sep-04,0.54 Cr,1.51 Cr,2.37 Cr,3.47 Cr
Madhoshi,24-Sep-04,0.50 Cr,1.45 Cr,2.20 Cr,3.07 Cr
Dil Ne Jise Apna Kahaa,10-Sep-04,1.09 Cr,3.22 Cr,4.95 Cr,6.85 Cr
Rakht,3-Sep-04,1.19 Cr,3.00 Cr,4.24 Cr,5.34 Cr
Phir Milenge,27-Aug-04,0.27 Cr,0.88 Cr,1.47 Cr,2.50 Cr
Dhoom,27-Aug-04,1.85 Cr,5.82 Cr,10.51 Cr,31.60 Cr
Fida,20-Aug-04,1.60 Cr,4.52 Cr,6.80 Cr,9.71 Cr
Kyun! Ho Gaya Na,13-Aug-04,1.27 Cr,3.86 Cr,5.80 Cr,7.88 Cr
Taarzan – The Wonder Car,6-Aug-04,0.67 Cr,2.00 Cr,3.01 Cr,4.26 Cr
Mujhse Shaadi Karogi,30-Jul-04,2.45 Cr,7.29 Cr,12.21 Cr,29.11 Cr
Julie,23-Jul-04,1.08 Cr,3.07 Cr,5.03 Cr,9.17 Cr
Asambhav,23-Jul-04,0.62 Cr,1.68 Cr,2.47 Cr,3.13 Cr
Gayab,16-Jul-04,1.38 Cr,3.95 Cr,5.74 Cr,7.11 Cr
Garv,9-Jul-04,1.92 Cr,5.42 Cr,8.77 Cr,14.38 Cr
Deewaar – Lets bring our heroes home,25-Jun-04,1.72 Cr,5.01 Cr,8.05 Cr,13.24 Cr
Lakshya,18-Jun-04,2.30 Cr,6.92 Cr,11.67 Cr,23.56 Cr
Dev,11-Jun-04,1.15 Cr,3.38 Cr,5.02 Cr,6.83 Cr
Girlfriend,11-Jun-04,0.44 Cr,1.31 Cr,2.04 Cr,3.94 Cr
Aan – Men at Work,4-Jun-04,1.40 Cr,3.98 Cr,6.12 Cr,9.27 Cr
Hum Tum,28-May-04,1.23 Cr,4.04 Cr,7.49 Cr,21.64 Cr
Yuva,21-May-04,1.61 Cr,4.96 Cr,8.13 Cr,14.25 Cr
Run,14-May-04,0.76 Cr,2.18 Cr,3.28 Cr,4.75 Cr
Lakeer,14-May-04,0.95 Cr,2.50 Cr,3.60 Cr,4.80 Cr
Main Hoon Na,30-Apr-04,2.72 Cr,8.03 Cr,14.57 Cr,36.20 Cr
Bardaasht,23-Apr-04,0.53 Cr,1.45 Cr,2.17 Cr,2.97 Cr
Krishna Cottage,16-Apr-04,0.66 Cr,1.87 Cr,2.81 Cr,3.99 Cr
Masti,9-Apr-04,1.80 Cr,5.47 Cr,9.13 Cr,20.28 Cr
Murder,2-Apr-04,1.03 Cr,2.95 Cr,5.27 Cr,15.01 Cr
Ab Tak Chhappan,27-Feb-04,0.68 Cr,0.22 Cr,3.76 Cr,8.68 Cr
Tum?,20-Feb-04,0.34 Cr,0.98 Cr,1.55 Cr,2.86 Cr
Kismat,20-Feb-04,0.69 Cr,1.97 Cr,3.02 Cr,4.91 Cr
I – Proud To Be An Indian,13-Feb-04,0.49 Cr,1.31 Cr,1.87 Cr,2.40 Cr
Rudraksh,13-Feb-04,1.22 Cr,3.25 Cr,4.70 Cr,5.90 Cr
Paap,30-Jan-04,0.46 Cr,1.21 Cr,1.80 Cr,2.50 Cr
Aetbaar,23-Jan-04,0.67 Cr,1.88 Cr,2.80 Cr,4.25 Cr
Khakee,23-Jan-04,2.05 Cr,6.10 Cr,10.81 Cr,25.79 Cr
Ek Hasina Thi,16-Jan-04,0.62 Cr,1.78 Cr,2.73 Cr,4.64 Cr
Plan,9-Jan-04,1.13 Cr,3.02 Cr,4.47 Cr,6.41 Cr
Chameli,9-Jan-04,0.44 Cr,1.39 Cr,2.13 Cr,3.20 Cr
Shikhar,30-Dec-05,1.21 Cr,3.62 Cr,5.27 Cr,6.62 Cr
Dosti – Friends Forever,23-Dec-05,1.28 Cr,3.55 Cr,5.58 Cr,8.77 Cr
Vaah! Life Ho Toh Aisi,23-Dec-05,0.86 Cr,2.51 Cr,3.80 Cr,5.84 Cr
Bluffmaster,16-Dec-05,1.60 Cr,5.21 Cr,8.56 Cr,18.28 Cr
Neal ‘n’ Nikki,9-Dec-05,1.05 Cr,2.98 Cr,4.40 Cr,6.06 Cr
Ek Ajnabee,9-Dec-05,1.10 Cr,3.12 Cr,4.68 Cr,6.94 Cr
Kalyug,9-Dec-05,0.68 Cr,1.97 Cr,3.18 Cr,7.21 Cr
Apaharan,2-Dec-05,1.90 Cr,5.63 Cr,8.90 Cr,15.66 Cr
Deewane Huye Paagal,25-Nov-05,2.24 Cr,6.49 Cr,10.00 Cr,15.17 Cr
Ek Khiladi Ek Haseena,18-Nov-05,0.98 Cr,2.68 Cr,3.94 Cr,4.74 Cr
Garam Masala,2-Nov-05,3.02 Cr,7.11 Cr,14.13 Cr,29.00 Cr
Kyon Ki,2-Nov-05,1.92 Cr,4.44 Cr,8.08 Cr,12.71 Cr
Shaadi No.1,2-Nov-05,1.82 Cr,4.37 Cr,7.63 Cr,11.49 Cr
Hanuman,21-Oct-05,0.25 Cr,0.90 Cr,1.58 Cr,5.38 Cr
Chocolate,16-Sep-05,0.85 Cr,2.42 Cr,3.70 Cr,6.64 Cr
Salaam Namaste,9-Sep-05,2.15 Cr,6.84 Cr,11.49 Cr,26.20 Cr
Aashiq Banaya Aapne,2-Sep-05,0.85 Cr,2.56 Cr,3.89 Cr,6.38 Cr
No Entry,26-Aug-05,1.72 Cr,7.98 Cr,14.08 Cr,44.72 Cr
Iqbal,26-Aug-05,0.13 Cr,0.52 Cr,0.98 Cr,3.86 Cr
Barsaat,19-Aug-05,1.59 Cr,4.46 Cr,6.78 Cr,9.91 Cr
Mangal Pandey – The Rising,12-Aug-05,3.24 Cr,9.59 Cr,17.37 Cr,27.86 Cr
Viruddh,22-Jul-05,1.17 Cr,3.65 Cr,5.89 Cr,10.07 Cr
Maine Pyaar Kyun Kiya,15-Jul-05,2.40 Cr,6.95 Cr,11.56 Cr,25.69 Cr
Fareb,8-Jul-05,0.14 Cr,0.34 Cr,0.54 Cr,0.74 Cr
Dus,8-Jul-05,2.92 Cr,8.22 Cr,12.82 Cr,23.29 Cr
Sarkar,1-Jul-05,2.43 Cr,6.86 Cr,11.57 Cr,24.84 Cr
Paheli,24-Jun-05,2.02 Cr,5.76 Cr,8.75 Cr,12.85 Cr
Bach Ke Rehna Re Baba,17-Jun-05,0.64 Cr,1.79 Cr,2.82 Cr,3.67 Cr
Parineeta,10-Jun-05,1.15 Cr,3.97 Cr,6.77 Cr,16.79 Cr
D – Underworld,3-Jun-05,1.00 Cr,2.80 Cr,4.23 Cr,5.94 Cr
Bunty Aur Babli,27-May-05,2.68 Cr,8.66 Cr,14.37 Cr,36.25 Cr
Naina,20-May-05,0.68 Cr,2.13 Cr,3.41 Cr,4.83 Cr
Jo Bole So Nihaal,13-May-05,1.60 Cr,4.32 Cr,6.70 Cr,8.22 Cr
Kyaa Kool Hai Hum,6-May-05,0.92 Cr,3.21 Cr,5.32 Cr,15.34 Cr
Kaal,29-Apr-05,2.71 Cr,7.53 Cr,11.45 Cr,19.09 Cr
Waqt – Race Against Time,22-Apr-05,1.91 Cr,5.78 Cr,9.37 Cr,20.25 Cr
Mumbai Xpress,15-Apr-05,0.45 Cr,1.38 Cr,2.16 Cr,3.50 Cr
Lucky – No Time For Love,6-Apr-05,2.32 Cr,6.57 Cr,10.15 Cr,15.94 Cr
Shabd,2-Apr-05,0.94 Cr,2.61 Cr,3.86 Cr,5.47 Cr
Tango Charlie,25-Mar-05,1.15 Cr,3.11 Cr,4.74 Cr,7.16 Cr
Zeher,25-Mar-05,0.64 Cr,2.06 Cr,3.45 Cr,7.34 Cr
Karam,12-Mar-05,0.77 Cr,2.22 Cr,3.41 Cr,4.95 Cr
Bewafaa,25-Feb-05,1.93 Cr,5.62 Cr,8.87 Cr,16.97 Cr
Jurm,18-Feb-05,0.76 Cr,2.13 Cr,3.18 Cr,4.24 Cr
Black,4-Feb-05,1.03 Cr,3.43 Cr,6.47 Cr,23.19 Cr
Blackmail,28-Jan-05,0.81 Cr,2.13 Cr,3.10 Cr,4.14 Cr
Kisna,21-Jan-05,1.49 Cr,4.22 Cr,6.59 Cr,8.22 Cr
Page 3,21-Jan-05,0.18 Cr,0.72 Cr,1.53 Cr,8.86 Cr
Elaan,14-Jan-05,1.16 Cr,3.06 Cr,4.65 Cr,7.52 Cr
Insan,14-Jan-05,0.92 Cr,2.41 Cr,3.72 Cr,6.58 Cr
Vaada,7-Jan-05,0.95 Cr,2.62 Cr,3.85 Cr,5.41 Cr
Bhagam Bhag,22-Dec-06,3.43 Cr,11.34 Cr,20.91 Cr,40.38 Cr
Kabul Express,15-Dec-06,1.49 Cr,4.87 Cr,7.21 Cr,11.70 Cr
Baabul,6-Dec-06,2.23 Cr,6.88 Cr,10.81 Cr,17.32 Cr
Dhoom 2,24-Nov-06,5.85 Cr,17.41 Cr,32.00 Cr,81.01 Cr
Vivah,10-Nov-06,0.83 Cr,2.84 Cr,5.63 Cr,31.56 Cr
Apna Sapna Money Money,10-Nov-06,1.94 Cr,5.70 Cr,8.83 Cr,14.40 Cr
Umrao Jaan,3-Nov-06,1.52 Cr,4.27 Cr,6.09 Cr,7.43 Cr
Don – The Chase Begins Again,20-Oct-06,4.65 Cr,14.18 Cr,24.44 Cr,50.35 Cr
Jaan-E-Mann,20-Oct-06,2.43 Cr,8.02 Cr,13.60 Cr,25.13 Cr
Woh Lamhe,29-Sep-06,0.82 Cr,2.68 Cr,4.18 Cr,6.80 Cr
Khosla Ka Ghosla,22-Sep-06,0.26 Cr,1.01 Cr,1.65 Cr,4.59 Cr
Rocky – The Rebel,22-Sep-06,0.41 Cr,1.33 Cr,1.83 Cr,2.16 Cr
Dor,22-Sep-06,0.14 Cr,0.51 Cr,0.90 Cr,2.70 Cr
Shiva,15-Sep-06,0.56 Cr,1.52 Cr,2.18 Cr,2.44 Cr
Pyaar Ke Side Effects,15-Sep-06,0.72 Cr,2.42 Cr,3.91 Cr,8.33 Cr
Naksha,8-Sep-06,1.39 Cr,3.76 Cr,5.43 Cr,6.61 Cr
Dil Diya Hai,8-Sep-06,0.51 Cr,1.44 Cr,2.06 Cr,2.31 Cr
Lage Raho Munnabhai,1-Sep-06,3.38 Cr,10.95 Cr,20.39 Cr,74.88 Cr
Aap Ki Khatir,25-Aug-06,1.24 Cr,3.59 Cr,5.33 Cr,6.39 Cr
Kabhi Alvida Naa Kehna,11-Aug-06,5.18 Cr,16.62 Cr,27.79 Cr,44.41 Cr
Anthony Kaun Hai?,4-Aug-06,1.31 Cr,3.52 Cr,4.98 Cr,6.17 Cr
Omkara,28-Jul-06,2.78 Cr,8.43 Cr,13.22 Cr,23.22 Cr
The Killer,21-Jul-06,0.99 Cr,2.73 Cr,3.88 Cr,4.65 Cr
Golmaal: Fun Unlimited,14-Jul-06,2.32 Cr,7.54 Cr,12.89 Cr,29.33 Cr
Corporate,7-Jul-06,1.17 Cr,3.69 Cr,5.89 Cr,10.32 Cr
Krrish,23-Jun-06,6.00 Cr,17.34 Cr,29.30 Cr,72.16 Cr
Phir Hera Pheri,9-Jun-06,3.28 Cr,9.86 Cr,17.75 Cr,40.80 Cr
Chup Chup Ke,9-Jun-06,1.28 Cr,4.18 Cr,7.08 Cr,13.75 Cr
Shaadi Se Pehle,4-Jun-06,1.52 Cr,4.53 Cr,6.92 Cr,10.20 Cr
Fanaa,26-May-06,3.96 Cr,11.74 Cr,20.32 Cr,51.87 Cr
Tom Dick and Harry,12-May-06,1.19 Cr,3.48 Cr,5.52 Cr,9.22 Cr
Tathastu,12-May-06,0.43 Cr,1.15 Cr,1.65 Cr,1.94 Cr
36 China Town,5-May-06,2.57 Cr,7.55 Cr,11.93 Cr,23.05 Cr
Darna Zaroori Hai,28-Apr-06,1.34 Cr,3.72 Cr,5.37 Cr,6.43 Cr
Gangster,28-Apr-06,1.07 Cr,3.47 Cr,5.82 Cr,12.67 Cr
Pyare Mohan,21-Apr-06,1.89 Cr,5.72 Cr,8.48 Cr,11.80 Cr
Humko Deewana Kar Gaye,14-Apr-06,1.90 Cr,5.41 Cr,8.44 Cr,14.13 Cr
Saawan – The Love Season,6-Apr-06,0.80 Cr,2.14 Cr,3.06 Cr,3.47 Cr
Being Cyrus,24-Mar-06,0.38 Cr,1.33 Cr,2.21 Cr,3.91 Cr
Malamaal Weekly,10-Mar-06,1.73 Cr,5.91 Cr,10.26 Cr,26.89 Cr
Teesri Aankh – The Hidden Camera,3-Mar-06,0.70 Cr,2.19 Cr,3.11 Cr,4.16 Cr
Taxi Number 9211,24-Feb-06,1.61 Cr,5.17 Cr,8.62 Cr,19.59 Cr
Fight Club – Members Only,17-Feb-06,1.00 Cr,2.80 Cr,4.02 Cr,5.48 Cr
Mere Jeevan Saathi,3-Feb-06,0.40 Cr,1.13 Cr,1.69 Cr,2.42 Cr
Aksar,3-Feb-06,0.95 Cr,2.85 Cr,4.64 Cr,8.58 Cr
Rang De Basanti,26-Jan-06,3.12 Cr,7.69 Cr,15.35 Cr,53.08 Cr
Zinda,12-Jan-06,1.30 Cr,3.63 Cr,5.92 Cr,10.17 Cr
Family – Ties of Blood,12-Jan-06,1.38 Cr,3.77 Cr,5.70 Cr,8.59 Cr
Jawani Diwani – A Youthful Joyride,6-Jan-06,0.94 Cr,2.58 Cr,3.70 Cr,4.72 Cr
Welcome,27-Dec-07,3.32 Cr,16.52 Cr,33.41 Cr,70.15 Cr
Taare Zameen Par,21-Dec-07,2.62 Cr,9.65 Cr,16.57 Cr,61.83 Cr
Dus Kahaniyaan,7-Dec-07,1.20 Cr,4.02 Cr,5.98 Cr,7.78 Cr
Aaja Nachle,30-Nov-07,1.85 Cr,6.16 Cr,9.03 Cr,14.07 Cr
Dhan Dhana Dhan Goal,23-Nov-07,2.05 Cr,6.43 Cr,9.55 Cr,13.87 Cr
Om Shanti Om,9-Nov-07,5.53 Cr,21.47 Cr,36.38 Cr,78.17 Cr
Good Boy Bad Boy,5-Nov-07,0.97 Cr,3.24 Cr,4.81 Cr,7.25 Cr
Jab We Met,26-Oct-07,1.75 Cr,6.82 Cr,11.80 Cr,31.06 Cr
Laaga Chunari Mein Daag,12-Oct-07,2.02 Cr,7.36 Cr,11.17 Cr,17.51 Cr
Bhool Bhulaiyaa,12-Oct-07,3.88 Cr,14.37 Cr,23.50 Cr,49.10 Cr
Johnny Gaddaar,28-Sep-07,0.54 Cr,1.87 Cr,2.83 Cr,4.05 Cr
Dhol,21-Sep-07,1.72 Cr,5.56 Cr,8.96 Cr,16.06 Cr
Saawariya,11-Sep-07,3.00 Cr,11.23 Cr,16.86 Cr,20.92 Cr
Darling,7-Sep-07,0.58 Cr,1.77 Cr,2.50 Cr,2.91 Cr
Dhamaal,7-Sep-07,2.38 Cr,8.00 Cr,13.65 Cr,32.51 Cr
Red,3-Sep-07,0.75 Cr,2.36 Cr,3.37 Cr,3.92 Cr
Ram Gopal Varma Ki Aag,31-Aug-07,1.72 Cr,4.96 Cr,6.98 Cr,7.39 Cr
Heyy Babyy,24-Aug-07,4.77 Cr,15.17 Cr,0 Cr N.A,24.48 Cr
Buddha Mar Gaya,17-Aug-07,0.62 Cr,1.94 Cr,2.73 Cr,2.95 Cr
Chak De India,10-Aug-07,3.07 Cr,11.53 Cr,21.53 Cr,66.54 Cr
Gandhi My Father,3-Aug-07,0.46 Cr,1.58 Cr,2.37 Cr,3.42 Cr
Cash,3-Aug-07,3.73 Cr,11.08 Cr,15.90 Cr,18.57 Cr
Naqaab,13-Jul-07,2.31 Cr,7.10 Cr,10.26 Cr,12.69 Cr
Awarapan,29-Jun-07,0.79 Cr,2.88 Cr,4.47 Cr,7.76 Cr
Apne,29-Jun-07,1.89 Cr,6.22 Cr,10.34 Cr,22.07 Cr
